flight_id,tail_id,client_id,aircraft,route,departure,flight_hours,passengers,weather,env_factor,hours_since_install_seat,hours_since_install_lighting,hours_since_install_galley,hours_since_install_panel,hours_since_install_water_waste,cycles_since_install_seat,cycles_since_install_lighting,cycles_since_install_galley,cycles_since_install_panel,cycles_since_install_water_waste,latent_seat,latent_lighting,latent_galley,latent_panel,latent_water_waste
FL1632,TAIL1037,AL3,A321,long,2025-01-04T06:14:07.302515,5.17,220,hot,1.15,12.7,12.0,31.7,26.2,28.6,1,1,4,3,3,0,0,0,0,0
FL1633,TAIL1037,AL3,A321,medium,2025-01-04T14:23:07.572945,3.95,167,hot,1.15,5.4,7.7,13.6,31.3,14.1,1,1,1,4,1,0,0,0,0,0
FL1634,TAIL1037,AL3,A321,medium,2025-01-04T19:52:27.764657,2.48,166,cold,1.05,9.3,11.7,17.6,35.3,18.0,2,2,2,5,2,0,0,0,0,0
FL1635,TAIL1037,AL3,A321,medium,2025-01-05T01:45:50.761009,2.69,135,hot,1.15,6.0,8.6,7.6,9.7,5.5,1,2,1,1,1,0,0,0,0,0
FL1636,TAIL1037,AL3,A321,medium,2025-01-05T09:21:57.926507,2.93,173,cold,1.05,8.7,11.3,10.3,12.4,8.2,2,3,2,2,2,0,0,0,0,0
FL1637,TAIL1037,AL3,A321,long,2025-01-05T13:40:19.111635,5.5,221,hot,1.15,11.7,14.3,13.2,15.3,11.1,3,4,3,3,3,0,0,0,0,0
FL1638,TAIL1037,AL3,A321,medium,2025-01-05T21:44:25.679642,2.85,171,windy,1.1,17.2,19.8,18.7,20.8,16.6,4,5,4,4,4,0,0,0,0,0
FL1639,TAIL1037,AL3,A321,short,2025-01-06T02:27:57.297402,1.23,155,clear,1.0,20.0,22.6,13.6,8.9,15.7,5,6,3,1,2,0,0,0,0,0
FL1640,TAIL1037,AL3,A321,long,2025-01-06T08:37:46.791906,9.59,225,cold,1.05,21.3,23.8,14.8,10.2,16.9,6,7,4,2,3,0,0,0,0,0
FL1641,TAIL1037,AL3,A321,short,2025-01-06T21:41:35.668492,1.47,139,rain,1.05,30.8,33.4,24.4,19.8,26.5,7,8,5,3,4,0,0,0,0,0
FL1642,TAIL1037,AL3,A321,long,2025-01-07T01:47:46.817092,7.98,193,hot,1.15,11.3,6.1,25.9,3.0,28.0,1,1,6,1,5,0,0,0,0,0
FL1643,TAIL1037,AL3,A321,medium,2025-01-07T12:45:32.030401,4.76,158,hot,1.15,19.3,14.1,33.9,11.0,36.0,2,2,7,2,6,0,0,0,0,0
FL1644,TAIL1038,AL3,A321,medium,2025-01-03T18:00:00,4.18,161,windy,1.1,24.2,113.8,167.3,57.0,89.3,25,5,4,18,30,0,0,0,0,0
FL1645,TAIL1038,AL3,A321,medium,2025-01-04T00:39:50.773010,2.99,169,hot,1.15,28.4,64.2,13.8,61.2,4.2,26,4,1,19,1,0,0,0,0,0
FL1646,TAIL1038,AL3,A321,medium,2025-01-04T08:35:19.515245,3.69,152,clear,1.0,31.4,6.0,16.8,40.6,7.2,27,1,2,13,2,0,0,0,0,0
FL1647,TAIL1038,AL3,A321,long,2025-01-04T15:00:07.330395,6.71,230,rain,1.05,35.0,7.5,6.9,11.0,10.9,28,1,1,1,3,0,0,0,0,0
FL1648,TAIL1038,AL3,A321,medium,2025-01-05T00:22:02.422885,4.93,139,rain,1.05,41.7,14.2,13.6,17.7,17.6,29,2,2,2,4,0,0,0,0,0
FL1649,TAIL1038,AL3,A321,long,2025-01-05T07:47:20.164522,6.51,219,cold,1.05,46.7,19.1,18.5,22.6,22.5,30,3,3,3,5,0,0,0,0,0
FL1650,TAIL1038,AL3,A321,medium,2025-01-05T18:31:03.518446,3.25,150,clear,1.0,32.4,16.6,15.8,29.2,29.1,19,2,3,4,6,0,0,0,0,0
FL1651,TAIL1038,AL3,A321,medium,2025-01-06T00:21:18.527575,4.76,163,cold,1.05,12.3,12.0,3.9,32.4,6.6,1,1,1,5,1,0,0,0,0,0
FL1652,TAIL1038,AL3,A321,medium,2025-01-06T07:47:52.310607,4.54,162,cold,1.05,17.1,16.8,8.7,37.2,11.3,2,2,2,6,2,0,0,0,0,0
FL1653,TAIL1038,AL3,A321,long,2025-01-06T15:35:48.342522,10.37,245,windy,1.1,21.6,21.3,13.2,41.7,15.9,3,3,3,7,3,0,0,0,0,0
FL1654,TAIL1038,AL3,A321,long,2025-01-07T03:22:24.350982,10.49,184,rain,1.05,32.0,16.6,19.0,10.9,20.3,4,1,2,1,2,0,0,0,0,0
FL1655,TAIL1039,AL4,A320,medium,2025-01-02T00:00:00,2.37,159,clear,1.0,88.6,144.1,108.8,96.2,161.3,6,13,16,0,2,1,0,0,0,0
FL1656,TAIL1039,AL4,A320,medium,2025-01-02T07:13:29.589480,4.29,151,cold,1.05,60.5,11.6,111.2,8.1,117.6,5,1,17,1,1,0,0,0,0,0
FL1657,TAIL1039,AL4,A320,medium,2025-01-02T13:19:54.824540,2.26,154,windy,1.1,64.8,7.1,115.5,13.9,13.4,6,1,18,1,1,0,0,0,0,0
FL1658,TAIL1039,AL4,A320,long,2025-01-02T18:35:25.139874,8.34,224,hot,1.15,41.9,11.1,117.7,4.5,15.6,5,1,19,1,2,0,0,0,0,0
FL1659,TAIL1039,AL4,A320,short,2025-01-03T05:15:07.423820,1.9,118,rain,1.05,10.5,14.9,10.4,11.0,18.1,1,1,1,1,2,0,0,0,0,0
FL1660,TAIL1039,AL4,A320,medium,2025-01-03T09:11:05.318723,3.13,179,rain,1.05,12.4,16.8,12.2,12.9,20.0,2,2,2,2,3,0,0,0,0,0
FL1661,TAIL1039,AL4,A320,medium,2025-01-03T16:49:23.257003,4.34,144,cold,1.05,15.5,19.9,15.4,16.0,23.1,3,3,3,3,4,0,0,0,0,0
FL1662,TAIL1039,AL4,A320,medium,2025-01-03T22:41:53.792273,2.99,174,windy,1.1,19.9,24.3,19.7,20.4,27.4,4,4,4,4,5,0,0,0,0,0
FL1663,TAIL1039,AL4,A320,short,2025-01-04T03:11:47.752481,1.83,128,clear,1.0,5.2,10.4,8.6,23.3,6.2,1,1,1,5,1,0,0,0,0,0
FL1664,TAIL1039,AL4,A320,medium,2025-01-04T07:41:54.062340,3.42,165,windy,1.1,7.0,12.2,10.5,25.2,8.0,2,2,2,6,2,0,0,0,0,0
FL1665,TAIL1039,AL4,A320,medium,2025-01-04T14:16:44.550884,2.97,163,cold,1.05,10.5,15.6,13.9,28.6,11.4,3,3,3,7,3,0,0,0,0,0
FL1666,TAIL1039,AL4,A320,short,2025-01-04T20:40:04.567164,1.22,127,clear,1.0,13.4,18.6,16.8,31.6,14.4,4,4,4,8,4,0,0,0,0,0
FL1667,TAIL1039,AL4,A320,long,2025-01-05T01:59:31.048295,7.97,214,hot,1.15,14.7,19.8,18.1,32.8,15.6,5,5,5,9,5,0,0,0,0,0
FL1668,TAIL1039,AL4,A320,short,2025-01-05T14:55:00.532981,1.94,122,windy,1.1,16.3,12.0,21.0,31.9,16.0,1,1,3,6,1,0,0,0,0,0
FL1669,TAIL1039,AL4,A320,short,2025-01-05T19:14:42.548617,1.84,122,windy,1.1,18.2,13.9,22.9,33.8,18.0,2,2,4,7,2,0,0,0,0,0
FL1670,TAIL1039,AL4,A320,medium,2025-01-05T23:22:05.650359,4.59,181,rain,1.05,20.1,7.2,24.7,7.5,12.3,3,1,5,1,2,0,0,0,0,0
FL1671,TAIL1039,AL4,A320,long,2025-01-06T06:27:47.122009,10.92,229,windy,1.1,24.6,11.8,29.3,12.0,16.9,4,2,6,2,3,0,0,0,0,0
FL1672,TAIL1039,AL4,A320,medium,2025-01-06T20:41:17.024368,3.65,156,cold,1.05,35.6,22.8,40.3,23.0,27.8,5,3,7,3,4,0,0,0,0,0
FL1673,TAIL1039,AL4,A320,short,2025-01-07T01:40:33.293155,1.46,127,clear,1.0,27.1,12.0,5.4,15.6,31.5,4,1,1,3,5,0,0,0,0,0
FL1674,TAIL1039,AL4,A320,short,2025-01-07T05:04:27.917689,0.97,158,clear,1.0,28.6,13.4,6.9,17.0,32.9,5,2,2,4,6,0,0,0,0,0
FL1675,TAIL1039,AL4,A320,medium,2025-01-07T07:57:03.809018,4.14,168,windy,1.1,29.5,14.4,7.8,18.0,33.9,6,3,3,5,7,0,0,0,0,0
FL1676,TAIL1039,AL4,A320,long,2025-01-07T14:41:06.859558,6.06,195,windy,1.1,33.7,18.5,12.0,22.2,38.0,7,4,4,6,8,0,0,0,0,0
FL1677,TAIL1040,AL2,A321,short,2025-01-02T20:00:00,1.18,141,cold,1.05,11.8,43.9,196.7,11.5,188.9,2,30,14,0,14,0,0,0,1,0
FL1678,TAIL1040,AL2,A321,medium,2025-01-02T22:26:21.603868,2.71,136,rain,1.05,9.5,7.5,4.3,12.7,8.6,2,1,1,1,1,0,0,0,1,0
FL1679,TAIL1040,AL2,A321,medium,2025-01-03T04:09:08.537575,4.59,160,cold,1.05,12.2,10.2,7.1,15.4,11.3,3,2,2,2,2,0,0,0,1,0
FL1680,TAIL1040,AL2,A321,medium,2025-01-03T12:16:54.157944,2.94,166,hot,1.15,16.8,14.8,11.6,20.0,15.9,4,3,3,3,3,0,0,0,1,0
FL1681,TAIL1040,AL2,A321,short,2025-01-03T17:43:18.828734,1.62,152,windy,1.1,19.7,17.7,14.6,22.9,18.9,5,4,4,4,4,0,0,0,1,0
FL1682,TAIL1040,AL2,A321,short,2025-01-03T22:04:41.919158,1.63,120,cold,1.05,21.4,19.3,16.2,24.6,20.5,6,5,5,5,5,0,0,0,1,0
FL1683,TAIL1040,AL2,A321,medium,2025-01-04T03:29:13.083929,3.99,176,rain,1.05,23.0,20.9,17.8,26.2,22.1,7,6,6,6,6,0,0,0,1,0
FL1684,TAIL1040,AL2,A321,medium,2025-01-04T08:49:53.047253,4.3,155,clear,1.0,22.1,5.6,12.4,30.2,26.1,5,1,1,7,7,0,0,0,0,0
FL1685,TAIL1040,AL2,A321,medium,2025-01-04T17:16:54.202733,4.25,164,rain,1.05,26.4,9.9,16.7,34.5,30.4,6,2,2,8,8,0,0,0,0,0
FL1686,TAIL1040,AL2,A321,short,2025-01-05T00:33:13.924721,1.51,131,rain,1.05,7.5,5.7,9.8,10.7,8.0,1,1,1,1,1,0,0,0,0,0
FL1687,TAIL1040,AL2,A321,medium,2025-01-05T03:32:58.798811,4.34,163,windy,1.1,9.0,7.2,11.3,12.3,9.5,2,2,2,2,2,0,0,0,0,0
FL1688,TAIL1040,AL2,A321,short,2025-01-05T12:38:09.390362,1.8,128,hot,1.15,13.3,11.5,15.7,16.6,13.8,3,3,3,3,3,0,0,0,0,0
FL1689,TAIL1040,AL2,A321,short,2025-01-05T19:03:25.704131,1.02,143,rain,1.05,15.1,13.3,17.5,18.4,15.6,4,4,4,4,4,0,0,0,0,0
FL1690,TAIL1041,AL3,A330,medium,2025-01-02T17:00:00,3.67,141,cold,1.05,29.9,118.2,94.7,112.8,104.0,8,2,7,16,5,0,0,1,0,0
FL1691,TAIL1041,AL3,A330,medium,2025-01-02T22:58:29.474273,3.88,173,hot,1.15,21.3,12.5,11.8,6.7,5.2,6,1,1,1,1,0,0,0,0,0
FL1692,TAIL1041,AL3,A330,medium,2025-01-03T05:23:19.892500,2.52,171,windy,1.1,25.2,16.4,15.7,10.5,9.1,7,2,2,2,2,0,0,0,0,0
FL1693,TAIL1041,AL3,A330,long,2025-01-03T11:31:24.565082,6.29,218,hot,1.15,27.7,18.9,18.2,13.1,11.6,8,3,3,3,3,0,0,0,0,0
FL1694,TAIL1041,AL3,A330,short,2025-01-03T22:44:46.033428,1.38,143,clear,1.0,34.0,25.2,24.5,19.4,17.9,9,4,4,4,4,0,0,0,0,0
FL1695,TAIL1041,AL3,A330,long,2025-01-04T02:55:42.935177,8.87,231,windy,1.1,5.8,26.6,9.8,2.7,10.4,1,5,1,1,3,0,0,0,0,0
FL1696,TAIL1041,AL3,A330,medium,2025-01-04T16:35:50.167574,4.74,157,windy,1.1,14.6,35.5,18.7,11.6,19.3,2,6,2,2,4,0,0,0,0,0
FL1697,TAIL1041,AL3,A330,long,2025-01-04T23:04:22.100952,5.76,193,hot,1.15,19.4,6.5,13.9,12.4,4.9,3,1,1,2,1,0,0,0,0,0
FL1698,TAIL1041,AL3,A330,long,2025-01-05T09:04:34.951358,9.41,203,rain,1.05,25.1,12.3,19.6,18.1,10.7,4,2,2,3,2,0,0,0,0,0
FL1699,TAIL1041,AL3,A330,long,2025-01-05T21:36:22.946983,7.98,213,cold,1.05,34.6,21.7,29.0,27.5,20.1,5,3,3,4,3,0,0,0,0,0
FL1700,TAIL1041,AL3,A330,medium,2025-01-06T10:25:44.964660,4.93,155,hot,1.15,27.6,13.8,15.4,29.0,28.1,3,1,1,2,4,0,0,0,0,0
FL1701,TAIL1041,AL3,A330,long,2025-01-06T19:06:04.133607,7.26,214,windy,1.1,32.5,18.7,14.1,11.2,9.9,4,2,1,1,1,0,0,0,0,0
FL1702,TAIL1041,AL3,A330,medium,2025-01-07T05:09:37.646274,4.08,141,hot,1.15,39.7,26.0,21.4,18.5,17.2,5,3,2,2,2,0,0,0,0,0
FL1703,TAIL1041,AL3,A330,long,2025-01-07T12:55:39.910747,9.15,219,rain,1.05,27.6,6.0,6.3,22.6,21.3,3,1,1,3,3,0,0,0,0,0
FL1704,TAIL1041,AL3,A330,long,2025-01-08T00:34:14.498252,8.82,206,hot,1.15,36.7,15.2,15.4,31.7,30.4,4,2,2,4,4,0,0,0,0,0
FL1705,TAIL1041,AL3,A330,medium,2025-01-08T12:13:32.836807,4.81,182,rain,1.05,15.0,13.5,11.2,28.2,9.6,1,1,1,4,1,0,0,0,0,0
FL1706,TAIL1041,AL3,A330,long,2025-01-08T18:17:43.229815,8.78,234,rain,1.05,19.8,18.3,16.0,33.0,14.4,2,2,2,5,2,0,0,0,0,0
FL1707,TAIL1041,AL3,A330,medium,2025-01-09T04:36:05.373326,4.96,159,rain,1.05,28.6,27.1,24.8,41.8,23.2,3,3,3,6,3,0,0,0,0,0
FL1708,TAIL1041,AL3,A330,short,2025-01-09T14:31:22.812870,1.38,126,hot,1.15,33.6,26.4,5.3,5.3,13.9,4,3,1,1,1,0,0,0,0,0
FL1709,TAIL1041,AL3,A330,medium,2025-01-09T18:55:52.869624,4.23,166,windy,1.1,35.0,27.8,6.7,6.7,15.2,5,4,2,2,2,0,0,0,0,0
FL1710,TAIL1041,AL3,A330,short,2025-01-10T00:27:34.200967,1.17,139,rain,1.05,39.2,32.0,10.9,11.0,19.5,6,5,3,3,3,0,0,0,0,0
FL1711,TAIL1042,AL1,A320,medium,2025-01-02T01:00:00,3.25,155,clear,1.0,64.1,134.3,82.4,155.5,117.4,20,13,6,4,7,0,0,0,0,0
FL1712,TAIL1042,AL1,A320,medium,2025-01-02T08:18:52.415681,2.57,161,cold,1.05,67.3,98.3,12.2,83.1,4.3,21,6,1,2,1,0,0,0,0,0
FL1713,TAIL1042,AL1,A320,short,2025-01-02T12:30:46.410571,1.7,127,clear,1.0,7.9,12.0,14.8,3.0,12.4,1,1,2,1,1,0,0,0,0,0
FL1714,TAIL1042,AL1,A320,medium,2025-01-02T17:44:36.697938,4.84,162,windy,1.1,9.5,13.7,16.5,4.7,14.1,2,2,3,2,2,0,0,0,0,0
FL1715,TAIL1042,AL1,A320,short,2025-01-03T01:59:44.151236,1.05,120,clear,1.0,14.4,18.5,21.3,9.5,19.0,3,3,4,3,3,0,0,0,0,0
FL1716,TAIL1042,AL1,A320,short,2025-01-03T05:05:17.659916,1.29,121,rain,1.05,15.4,19.6,22.4,10.6,20.0,4,4,5,4,4,0,0,0,0,0
FL1717,TAIL1042,AL1,A320,short,2025-01-03T08:40:36.573195,1.43,138,windy,1.1,16.7,20.9,23.7,11.9,21.3,5,5,6,5,5,0,0,0,0,0
FL1718,TAIL1042,AL1,A320,medium,2025-01-03T14:52:12.950863,4.51,169,hot,1.15,18.1,22.3,25.1,13.3,22.7,6,6,7,6,6,0,0,0,0,0
FL1719,TAIL1042,AL1,A320,long,2025-01-03T20:45:22.756449,8.43,222,clear,1.0,22.7,26.8,29.6,17.8,27.2,7,7,8,7,7,0,0,0,0,0
FL1720,TAIL1042,AL1,A320,short,2025-01-04T09:49:36.210545,1.0,148,rain,1.05,21.0,35.2,16.9,17.1,35.7,5,8,1,1,8,0,0,0,0,0
FL1721,TAIL1042,AL1,A320,short,2025-01-04T12:53:53.893319,0.95,124,windy,1.1,10.9,36.2,8.9,18.1,36.6,1,9,1,2,9,0,0,0,0,0
FL1722,TAIL1042,AL1,A320,short,2025-01-04T15:40:06.774214,1.64,130,windy,1.1,11.8,37.2,9.9,19.1,37.6,2,10,2,3,10,0,0,0,0,0
FL1723,TAIL1042,AL1,A320,short,2025-01-04T20:51:37.153729,1.84,145,windy,1.1,13.4,5.3,11.5,7.6,8.3,3,1,3,1,1,0,0,0,0,0
FL1724,TAIL1042,AL1,A320,medium,2025-01-05T01:28:39.280137,4.25,140,rain,1.05,15.3,7.1,13.4,9.4,10.1,4,2,4,2,2,0,0,0,0,0
FL1725,TAIL1042,AL1,A320,long,2025-01-05T08:10:26.788795,6.48,224,clear,1.0,19.5,11.4,17.6,13.7,14.4,5,3,5,3,3,0,0,0,0,0
FL1726,TAIL1042,AL1,A320,medium,2025-01-05T19:36:39.517764,3.7,186,clear,1.0,26.0,17.8,24.1,20.1,20.9,6,4,6,4,4,0,0,0,0,0
FL1727,TAIL1042,AL1,A320,short,2025-01-06T03:22:40.920868,1.03,152,hot,1.15,29.7,13.5,22.9,14.3,14.2,7,2,5,2,4,0,0,0,0,0
FL1728,TAIL1042,AL1,A320,medium,2025-01-06T06:26:02.360732,2.23,164,hot,1.15,1.2,8.1,23.9,7.8,3.8,1,1,6,1,1,0,0,0,0,0
FL1729,TAIL1042,AL1,A320,short,2025-01-06T13:13:13.609898,1.13,155,cold,1.05,3.4,10.3,26.2,10.1,6.1,2,2,7,2,2,0,0,0,0,0
FL1730,TAIL1042,AL1,A320,medium,2025-01-06T17:18:00.812727,2.76,182,rain,1.05,4.6,11.4,27.3,11.2,7.2,3,3,8,3,3,0,0,0,0,0
FL1731,TAIL1042,AL1,A320,long,2025-01-06T21:15:16.379527,5.02,215,cold,1.05,7.3,14.2,30.1,14.0,9.9,4,4,9,4,4,0,0,0,0,0
FL1732,TAIL1042,AL1,A320,medium,2025-01-07T03:48:35.573324,3.13,148,rain,1.05,12.3,19.2,35.1,19.0,15.0,5,5,10,5,5,0,0,0,0,0
FL1733,TAIL1043,AL4,A321,medium,2025-01-03T20:00:00,4.99,158,clear,1.0,40.8,30.3,15.4,89.5,187.5,23,4,0,5,3,0,0,0,0,0
FL1734,TAIL1043,AL4,A321,long,2025-01-04T02:39:05.312750,9.51,230,hot,1.15,30.4,25.7,14.6,5.3,8.7,10,3,1,1,1,0,0,0,0,0
FL1735,TAIL1043,AL4,A321,medium,2025-01-04T13:38:25.897571,3.53,192,rain,1.05,39.9,35.2,24.1,14.8,18.2,11,4,2,2,2,0,0,0,0,0
FL1736,TAIL1043,AL4,A321,medium,2025-01-04T21:25:57.504990,2.6,164,cold,1.05,43.4,12.4,13.4,18.3,14.9,12,1,1,3,2,0,0,0,0,0
FL1737,TAIL1043,AL4,A321,short,2025-01-05T01:19:27.408886,1.87,139,rain,1.05,46.0,15.0,16.0,20.9,17.5,13,2,2,4,3,0,0,0,0,0
FL1738,TAIL1043,AL4,A321,short,2025-01-05T07:08:23.259476,1.64,142,cold,1.05,47.9,11.7,13.2,5.8,12.2,14,1,2,1,3,0,0,0,0,0
FL1739,TAIL1043,AL4,A321,short,2025-01-05T11:48:51.049629,1.2,136,cold,1.05,49.5,13.4,14.9,7.5,13.9,15,2,3,2,4,0,0,0,0,0
FL1740,TAIL1043,AL4,A321,medium,2025-01-05T16:58:29.436575,3.53,169,clear,1.0,50.7,14.6,16.1,8.7,15.1,16,3,4,3,5,0,0,0,0,0
FL1741,TAIL1043,AL4,A321,medium,2025-01-06T01:26:22.076036,3.04,160,cold,1.05,54.2,13.9,5.7,4.9,10.5,17,2,1,1,1,0,0,0,0,0
FL1742,TAIL1043,AL4,A321,medium,2025-01-06T07:22:41.754869,3.09,165,rain,1.05,57.3,16.9,8.7,8.0,13.6,18,3,2,2,2,0,0,0,0,0
FL1743,TAIL1043,AL4,A321,long,2025-01-06T13:18:23.650666,8.47,201,rain,1.05,60.4,20.0,11.8,11.1,16.7,19,4,3,3,3,0,0,0,0,0
FL1744,TAIL1043,AL4,A321,short,2025-01-06T23:54:28.344523,1.85,127,cold,1.05,68.8,28.5,10.4,11.9,20.2,20,5,1,1,2,0,0,0,0,0
FL1745,TAIL1043,AL4,A321,long,2025-01-07T03:31:51.013580,9.52,215,hot,1.15,49.0,8.9,9.5,13.8,22.1,11,1,1,2,3,0,0,0,0,0
FL1746,TAIL1043,AL4,A321,short,2025-01-07T16:35:08.307756,1.47,121,clear,1.0,58.5,18.4,19.0,23.3,31.6,12,2,2,3,4,0,0,0,0,0
FL1747,TAIL1043,AL4,A321,medium,2025-01-07T22:01:34.512309,4.85,178,hot,1.15,60.0,19.9,20.5,16.0,7.0,13,3,3,2,1,0,0,0,0,0
FL1748,TAIL1043,AL4,A321,short,2025-01-08T04:40:06.002665,1.52,164,rain,1.05,64.8,16.4,25.3,13.0,9.2,14,2,4,1,1,0,0,0,0,0
FL1749,TAIL1043,AL4,A321,medium,2025-01-08T09:06:27.365362,4.11,167,rain,1.05,10.7,7.6,16.9,8.2,10.8,1,1,3,1,2,0,0,0,0,0
FL1750,TAIL1043,AL4,A321,medium,2025-01-08T17:26:09.319155,2.41,172,cold,1.05,14.8,11.7,21.1,12.3,14.9,2,2,4,2,3,0,0,0,0,0
FL1751,TAIL1044,AL4,A330,short,2025-01-03T16:00:00,1.11,130,clear,1.0,98.5,156.8,83.7,198.9,142.1,16,3,13,6,19,0,0,0,0,0
FL1752,TAIL1044,AL4,A330,medium,2025-01-03T18:09:22.500061,3.35,150,clear,1.0,99.6,3.1,84.8,8.6,143.2,17,1,14,1,20,0,0,0,0,0
FL1753,TAIL1044,AL4,A330,medium,2025-01-03T23:54:07.782529,2.72,160,rain,1.05,9.8,8.2,88.2,11.9,115.1,1,1,15,2,12,0,0,0,0,0
FL1754,TAIL1044,AL4,A330,medium,2025-01-04T06:45:56.620399,2.81,163,rain,1.05,8.4,7.5,69.7,14.7,12.6,1,1,10,3,1,0,0,0,0,0
FL1755,TAIL1044,AL4,A330,short,2025-01-04T12:12:43.537846,1.17,127,windy,1.1,12.3,8.7,49.3,17.5,12.1,1,1,8,4,1,0,0,0,0,0
FL1756,TAIL1044,AL4,A330,short,2025-01-04T16:17:09.868477,1.27,131,hot,1.15,13.5,9.8,50.5,18.6,13.3,2,2,9,5,2,0,0,0,0,0
FL1757,TAIL1044,AL4,A330,short,2025-01-04T21:10:04.430114,0.93,141,cold,1.05,11.2,6.8,8.5,5.4,14.5,2,2,1,1,3,0,0,0,0,0
FL1758,TAIL1044,AL4,A330,medium,2025-01-05T02:15:55.213986,2.51,181,hot,1.15,12.1,7.8,9.4,6.3,15.5,3,3,2,2,4,0,0,0,0,0
FL1759,TAIL1044,AL4,A330,medium,2025-01-05T08:40:09.586695,3.45,166,cold,1.05,14.6,10.3,11.9,8.8,18.0,4,4,3,3,5,0,0,0,0,0
FL1760,TAIL1044,AL4,A330,short,2025-01-05T16:10:26.121465,1.01,155,windy,1.1,18.1,13.7,15.3,12.3,21.4,5,5,4,4,6,0,0,0,0,0
FL1761,TAIL1044,AL4,A330,long,2025-01-05T19:12:55.771107,5.38,233,windy,1.1,19.1,14.7,16.4,13.3,22.4,6,6,5,5,7,0,0,0,0,0
FL1762,TAIL1044,AL4,A330,short,2025-01-06T05:19:18.858122,1.61,174,rain,1.05,24.5,20.1,21.7,18.6,27.8,7,7,6,6,8,0,0,0,0,0
FL1763,TAIL1044,AL4,A330,medium,2025-01-06T08:07:45.221490,2.26,178,windy,1.1,15.2,15.6,15.5,7.1,16.6,5,6,4,1,6,0,0,0,0,0
FL1764,TAIL1045,AL4,A321,medium,2025-01-01T11:00:00,4.88,175,clear,1.0,171.8,99.6,31.8,156.4,167.8,1,0,2,11,11,0,0,0,0,0
FL1765,TAIL1045,AL4,A321,medium,2025-01-01T20:34:16.146030,4.8,164,cold,1.05,125.7,8.7,25.9,117.9,101.5,1,1,1,7,6,0,0,0,0,0
FL1766,TAIL1045,AL4,A321,medium,2025-01-02T06:18:57.132561,3.02,161,windy,1.1,130.5,10.3,10.2,9.5,64.6,2,1,1,1,4,0,0,0,0,0
FL1767,TAIL1045,AL4,A321,medium,2025-01-02T10:45:05.968711,2.58,167,clear,1.0,133.5,10.1,13.2,8.6,12.4,3,1,2,1,1,0,0,0,0,0
FL1768,TAIL1045,AL4,A321,medium,2025-01-02T15:03:50.764104,4.34,141,rain,1.05,136.1,6.2,12.2,11.1,11.2,4,1,1,2,1,0,0,0,0,0
FL1769,TAIL1045,AL4,A321,medium,2025-01-02T21:46:33.779427,2.32,171,rain,1.05,13.1,5.9,6.3,15.5,13.1,1,1,1,3,1,0,0,0,0,0
FL1770,TAIL1045,AL4,A321,medium,2025-01-03T02:04:19.976685,3.33,143,rain,1.05,15.4,8.2,8.6,17.8,15.4,2,2,2,4,2,0,0,0,0,0
FL1771,TAIL1045,AL4,A321,medium,2025-01-03T07:12:28.059490,3.46,153,clear,1.0,18.8,11.6,11.9,21.1,18.8,3,3,3,5,3,0,0,0,0,0
FL1772,TAIL1045,AL4,A321,short,2025-01-03T14:07:23.267107,1.46,147,cold,1.05,22.2,15.0,15.4,24.6,22.2,4,4,4,6,4,0,0,0,0,0
FL1773,TAIL1045,AL4,A321,short,2025-01-03T16:59:19.576012,0.95,145,cold,1.05,23.7,16.5,16.9,26.1,23.7,5,5,5,7,5,0,0,0,0,0
FL1774,TAIL1045,AL4,A321,short,2025-01-03T19:55:48.857976,1.96,144,windy,1.1,24.6,17.4,17.8,27.0,24.6,6,6,6,8,6,0,0,0,0,0
FL1775,TAIL1045,AL4,A321,short,2025-01-04T01:00:45.994450,1.33,137,clear,1.0,4.7,9.6,11.7,29.0,17.8,1,1,3,9,4,0,0,0,0,0
FL1776,TAIL1045,AL4,A321,medium,2025-01-04T04:30:44.506368,3.4,147,cold,1.05,6.0,11.0,13.0,30.3,19.1,2,2,4,10,5,0,0,0,0,0
FL1777,TAIL1045,AL4,A321,short,2025-01-04T09:42:56.885449,1.53,143,rain,1.05,9.4,14.4,16.4,33.7,22.5,3,3,5,11,6,0,0,0,0,0
FL1778,TAIL1045,AL4,A321,medium,2025-01-04T13:27:58.167129,3.8,153,rain,1.05,10.9,15.9,18.0,35.2,24.1,4,4,6,12,7,0,0,0,0,0
FL1779,TAIL1045,AL4,A321,short,2025-01-04T21:50:34.156906,0.91,140,cold,1.05,13.1,15.6,16.4,27.3,16.5,1,3,4,6,4,0,0,0,0,0
FL1780,TAIL1045,AL4,A321,short,2025-01-05T01:43:05.266434,1.54,123,rain,1.05,14.0,16.5,17.4,28.2,17.5,2,4,5,7,5,0,0,0,0,0
FL1781,TAIL1045,AL4,A321,medium,2025-01-05T06:56:59.915941,4.62,144,hot,1.15,15.6,3.4,5.2,29.8,19.0,3,1,1,8,6,0,0,0,0,0
FL1782,TAIL1046,AL4,A321,medium,2025-01-02T02:00:00,4.45,164,hot,1.15,188.2,30.8,89.0,184.3,188.6,12,1,17,10,6,0,0,0,1,0
FL1783,TAIL1046,AL4,A321,medium,2025-01-02T09:58:51.332509,4.14,159,cold,1.05,6.6,35.3,11.8,188.8,193.0,1,2,1,11,7,0,0,0,1,0
