flight_id,tail_id,client_id,maintenance_needed,hazard_score,pred_time_to_failure_hours
FL1535,TAIL1031,AL3,0,0.632,62.8
FL1536,TAIL1031,AL3,0,0.759,73.4
FL1537,TAIL1031,AL3,0,0.844,47.5
FL1538,TAIL1031,AL3,0,0.549,54.5
FL1539,TAIL1032,AL4,1,1.8,33.6
FL1540,TAIL1032,AL4,1,1.397,70.9
FL1541,TAIL1032,AL4,1,1.022,75.2
FL1542,TAIL1032,AL4,0,0.542,83.7
FL1543,TAIL1032,AL4,0,0.825,59.9
FL1544,TAIL1032,AL4,0,0.816,49.9
FL1545,TAIL1032,AL4,1,0.952,63.0
FL1546,TAIL1032,AL4,0,0.649,63.7
FL1547,TAIL1032,AL4,0,0.752,72.9
FL1548,TAIL1032,AL4,1,1.081,71.1
FL1549,TAIL1032,AL4,0,0.779,63.7
FL1550,TAIL1032,AL4,0,0.844,65.9
FL1551,TAIL1032,AL4,0,0.426,72.6
FL1552,TAIL1032,AL4,0,0.397,56.6
FL1553,TAIL1032,AL4,0,0.764,54.5
FL1554,TAIL1032,AL4,0,0.82,65.9
FL1555,TAIL1032,AL4,0,0.786,73.6
FL1556,TAIL1032,AL4,1,0.885,38.6
FL1557,TAIL1033,AL4,1,1.8,54.1
FL1558,TAIL1033,AL4,1,1.8,35.8
FL1559,TAIL1033,AL4,1,1.561,25.0
FL1560,TAIL1033,AL4,0,0.682,67.6
FL1561,TAIL1033,AL4,0,0.686,66.9
FL1562,TAIL1033,AL4,0,0.721,53.3
FL1563,TAIL1033,AL4,1,0.884,70.8
FL1564,TAIL1033,AL4,0,0.525,100.7
FL1565,TAIL1033,AL4,0,0.643,68.5
FL1566,TAIL1033,AL4,0,0.713,48.4
FL1567,TAIL1033,AL4,0,0.719,57.0
FL1568,TAIL1033,AL4,1,1.103,50.3
FL1569,TAIL1033,AL4,0,0.536,60.1
FL1570,TAIL1033,AL4,0,0.621,57.3
FL1571,TAIL1033,AL4,0,0.678,72.9
FL1572,TAIL1033,AL4,0,0.74,64.4
FL1573,TAIL1034,AL3,1,1.8,33.7
FL1574,TAIL1034,AL3,1,1.153,58.9
FL1575,TAIL1034,AL3,0,0.503,87.9
FL1576,TAIL1034,AL3,0,0.548,93.1
FL1577,TAIL1034,AL3,0,0.694,55.0
FL1578,TAIL1034,AL3,0,0.742,57.5
FL1579,TAIL1034,AL3,1,0.899,65.2
FL1580,TAIL1034,AL3,0,0.556,59.7
FL1581,TAIL1034,AL3,1,0.93,62.8
FL1582,TAIL1034,AL3,0,0.714,85.4
FL1583,TAIL1034,AL3,0,0.853,63.5
FL1584,TAIL1034,AL3,0,0.553,55.5
FL1585,TAIL1034,AL3,0,0.653,60.8
FL1586,TAIL1034,AL3,0,0.718,57.5
FL1587,TAIL1034,AL3,1,0.952,66.4
FL1588,TAIL1034,AL3,0,0.83,47.0
FL1589,TAIL1034,AL3,0,0.674,87.8
FL1590,TAIL1035,AL4,1,1.8,35.3
FL1591,TAIL1035,AL4,1,1.8,54.2
FL1592,TAIL1035,AL4,1,1.592,60.4
FL1593,TAIL1035,AL4,0,0.733,54.9
FL1594,TAIL1035,AL4,0,0.727,59.1
FL1595,TAIL1035,AL4,0,0.851,49.8
FL1596,TAIL1035,AL4,0,0.551,83.5
FL1597,TAIL1035,AL4,0,0.861,55.0
FL1598,TAIL1035,AL4,0,0.548,67.9
FL1599,TAIL1035,AL4,0,0.578,78.9
FL1600,TAIL1035,AL4,0,0.858,58.8
FL1601,TAIL1035,AL4,0,0.679,72.1
FL1602,TAIL1035,AL4,0,0.847,54.4
FL1603,TAIL1035,AL4,0,0.502,55.3
FL1604,TAIL1035,AL4,0,0.575,72.5
FL1605,TAIL1035,AL4,0,0.715,56.1
FL1606,TAIL1035,AL4,0,0.787,68.5
FL1607,TAIL1035,AL4,0,0.557,66.3
FL1608,TAIL1035,AL4,0,0.546,73.5
FL1609,TAIL1036,AL1,1,1.8,47.7
FL1610,TAIL1036,AL1,1,1.485,32.2
FL1611,TAIL1036,AL1,1,0.928,75.6
FL1612,TAIL1036,AL1,1,0.985,51.1
FL1613,TAIL1036,AL1,0,0.523,61.8
FL1614,TAIL1036,AL1,0,0.563,60.8
FL1615,TAIL1036,AL1,0,0.793,54.1
FL1616,TAIL1036,AL1,0,0.789,49.4
FL1617,TAIL1036,AL1,0,0.588,78.3
FL1618,TAIL1036,AL1,0,0.694,67.4
FL1619,TAIL1036,AL1,0,0.688,76.3
FL1620,TAIL1036,AL1,0,0.694,56.1
FL1621,TAIL1036,AL1,0,0.791,62.7
FL1622,TAIL1036,AL1,0,0.642,43.4
FL1623,TAIL1036,AL1,0,0.794,71.3
FL1624,TAIL1036,AL1,0,0.81,56.1
FL1625,TAIL1037,AL3,1,1.8,47.5
FL1626,TAIL1037,AL3,1,0.919,63.1
FL1627,TAIL1037,AL3,0,0.521,89.1
FL1628,TAIL1037,AL3,0,0.787,50.2
FL1629,TAIL1037,AL3,0,0.833,75.0
FL1630,TAIL1037,AL3,0,0.709,64.0
FL1631,TAIL1037,AL3,1,0.923,62.0
FL1632,TAIL1037,AL3,0,0.85,47.1
FL1633,TAIL1037,AL3,0,0.634,71.2
FL1634,TAIL1037,AL3,0,0.772,65.9
FL1635,TAIL1037,AL3,0,0.407,102.5
FL1636,TAIL1037,AL3,0,0.544,86.2
FL1637,TAIL1037,AL3,0,0.615,79.0
FL1638,TAIL1037,AL3,0,0.775,31.6
FL1639,TAIL1037,AL3,0,0.576,82.0
FL1640,TAIL1037,AL3,0,0.701,96.1
FL1641,TAIL1037,AL3,1,0.937,55.9
FL1642,TAIL1037,AL3,0,0.681,55.8
FL1643,TAIL1037,AL3,0,0.858,66.2
FL1644,TAIL1038,AL3,1,1.8,27.8
FL1645,TAIL1038,AL3,1,1.168,42.0
FL1646,TAIL1038,AL3,0,0.812,63.4
FL1647,TAIL1038,AL3,0,0.652,61.9
FL1648,TAIL1038,AL3,0,0.784,82.8
FL1649,TAIL1038,AL3,1,0.99,55.1
FL1650,TAIL1038,AL3,1,0.963,62.0
FL1651,TAIL1038,AL3,0,0.609,64.7
FL1652,TAIL1038,AL3,0,0.698,49.5
FL1653,TAIL1038,AL3,0,0.857,61.6
FL1654,TAIL1038,AL3,0,0.802,55.8
FL1655,TAIL1039,AL4,1,1.8,42.1
FL1656,TAIL1039,AL4,1,1.8,40.5
FL1657,TAIL1039,AL4,1,1.424,41.4
FL1658,TAIL1039,AL4,1,1.368,51.3
FL1659,TAIL1039,AL4,0,0.569,67.0
FL1660,TAIL1039,AL4,0,0.649,49.2
FL1661,TAIL1039,AL4,0,0.743,50.6
FL1662,TAIL1039,AL4,0,0.814,53.2
FL1663,TAIL1039,AL4,0,0.481,80.6
FL1664,TAIL1039,AL4,0,0.617,45.5
FL1665,TAIL1039,AL4,0,0.67,74.4
FL1666,TAIL1039,AL4,0,0.681,95.2
FL1667,TAIL1039,AL4,0,0.818,53.6
FL1668,TAIL1039,AL4,0,0.74,45.1
FL1669,TAIL1039,AL4,0,0.813,71.4
FL1670,TAIL1039,AL4,0,0.558,84.0
FL1671,TAIL1039,AL4,0,0.783,53.5
FL1672,TAIL1039,AL4,1,1.074,61.2
FL1673,TAIL1039,AL4,0,0.715,59.3
FL1674,TAIL1039,AL4,0,0.727,53.9
FL1675,TAIL1039,AL4,0,0.764,46.3
FL1676,TAIL1039,AL4,1,0.947,64.9
FL1677,TAIL1040,AL2,1,1.8,37.5
FL1678,TAIL1040,AL2,0,0.445,70.4
FL1679,TAIL1040,AL2,0,0.584,80.0
FL1680,TAIL1040,AL2,0,0.745,88.6
FL1681,TAIL1040,AL2,0,0.75,52.1
FL1682,TAIL1040,AL2,0,0.792,57.6
FL1683,TAIL1040,AL2,0,0.836,54.9
FL1684,TAIL1040,AL2,0,0.752,71.0
FL1685,TAIL1040,AL2,1,0.872,55.9
FL1686,TAIL1040,AL2,0,0.457,87.9
FL1687,TAIL1040,AL2,0,0.463,67.7
FL1688,TAIL1040,AL2,0,0.622,80.3
FL1689,TAIL1040,AL2,0,0.654,66.1
FL1690,TAIL1041,AL3,1,1.8,16.5
FL1691,TAIL1041,AL3,0,0.586,93.7
FL1692,TAIL1041,AL3,0,0.609,65.6
FL1693,TAIL1041,AL3,0,0.759,67.2
FL1694,TAIL1041,AL3,1,0.924,53.5
FL1695,TAIL1041,AL3,0,0.509,76.7
FL1696,TAIL1041,AL3,0,0.766,61.6
FL1697,TAIL1041,AL3,0,0.554,55.2
FL1698,TAIL1041,AL3,0,0.646,66.5
FL1699,TAIL1041,AL3,1,1.001,83.0
FL1700,TAIL1041,AL3,1,0.888,57.8
FL1701,TAIL1041,AL3,0,0.693,69.8
FL1702,TAIL1041,AL3,1,0.937,66.1
FL1703,TAIL1041,AL3,0,0.625,45.2
FL1704,TAIL1041,AL3,1,0.963,51.9
FL1705,TAIL1041,AL3,0,0.711,69.3
FL1706,TAIL1041,AL3,0,0.763,74.4
FL1707,TAIL1041,AL3,1,1.017,37.3
FL1708,TAIL1041,AL3,0,0.72,79.9
FL1709,TAIL1041,AL3,0,0.735,63.0
FL1710,TAIL1041,AL3,0,0.828,71.0
FL1711,TAIL1042,AL1,1,1.8,39.7
FL1712,TAIL1042,AL1,1,1.771,46.3
FL1713,TAIL1042,AL1,0,0.515,71.7
FL1714,TAIL1042,AL1,0,0.538,86.1
FL1715,TAIL1042,AL1,0,0.673,80.2
FL1716,TAIL1042,AL1,0,0.777,40.2
FL1717,TAIL1042,AL1,0,0.773,48.8
FL1718,TAIL1042,AL1,0,0.809,55.0
FL1719,TAIL1042,AL1,1,0.88,60.7
FL1720,TAIL1042,AL1,1,0.904,60.3
FL1721,TAIL1042,AL1,0,0.814,50.7
FL1722,TAIL1042,AL1,1,0.886,55.3
FL1723,TAIL1042,AL1,0,0.455,74.7
FL1724,TAIL1042,AL1,0,0.527,75.4
FL1725,TAIL1042,AL1,0,0.611,84.4
FL1726,TAIL1042,AL1,0,0.854,79.5
FL1727,TAIL1042,AL1,0,0.769,52.1
FL1728,TAIL1042,AL1,0,0.521,74.5
FL1729,TAIL1042,AL1,0,0.491,80.0
FL1730,TAIL1042,AL1,0,0.526,72.0
FL1731,TAIL1042,AL1,0,0.661,66.1
FL1732,TAIL1042,AL1,0,0.798,54.8
FL1733,TAIL1043,AL4,1,1.8,20.1
FL1734,TAIL1043,AL4,0,0.682,68.7
FL1735,TAIL1043,AL4,1,0.936,51.7
FL1736,TAIL1043,AL4,0,0.766,69.0
FL1737,TAIL1043,AL4,0,0.858,51.0
FL1738,TAIL1043,AL4,0,0.746,45.2
FL1739,TAIL1043,AL4,0,0.752,57.7
FL1740,TAIL1043,AL4,0,0.835,46.0
FL1741,TAIL1043,AL4,0,0.753,71.9
FL1742,TAIL1043,AL4,0,0.77,63.7
FL1743,TAIL1043,AL4,1,0.866,60.4
FL1744,TAIL1043,AL4,1,0.977,62.3
FL1745,TAIL1043,AL4,0,0.793,70.5
FL1746,TAIL1043,AL4,1,1.083,54.9
FL1747,TAIL1043,AL4,1,0.878,58.6
FL1748,TAIL1043,AL4,1,0.95,70.5
FL1749,TAIL1043,AL4,0,0.5,80.2
FL1750,TAIL1043,AL4,0,0.651,54.1
FL1751,TAIL1044,AL4,1,1.8,39.5
FL1752,TAIL1044,AL4,1,1.8,51.0
FL1753,TAIL1044,AL4,1,1.587,23.4
FL1754,TAIL1044,AL4,1,0.879,40.4
FL1755,TAIL1044,AL4,0,0.746,42.9
FL1756,TAIL1044,AL4,1,0.894,58.7
FL1757,TAIL1044,AL4,0,0.449,102.2
FL1758,TAIL1044,AL4,0,0.463,66.2
FL1759,TAIL1044,AL4,0,0.579,68.0
FL1760,TAIL1044,AL4,0,0.685,59.8
FL1761,TAIL1044,AL4,0,0.743,64.3
FL1762,TAIL1044,AL4,1,0.866,52.1
FL1763,TAIL1044,AL4,0,0.613,57.2
FL1764,TAIL1045,AL4,1,1.8,29.6
FL1765,TAIL1045,AL4,1,1.8,58.7
FL1766,TAIL1045,AL4,1,1.518,40.9
FL1767,TAIL1045,AL4,1,1.198,48.5
FL1768,TAIL1045,AL4,1,1.234,41.3
FL1769,TAIL1045,AL4,0,0.53,81.2
FL1770,TAIL1045,AL4,0,0.561,74.2
FL1771,TAIL1045,AL4,0,0.664,82.5
FL1772,TAIL1045,AL4,0,0.765,95.5
FL1773,TAIL1045,AL4,0,0.792,56.5
FL1774,TAIL1045,AL4,1,0.867,48.6
FL1775,TAIL1045,AL4,0,0.566,85.4
FL1776,TAIL1045,AL4,0,0.646,76.4
FL1777,TAIL1045,AL4,0,0.733,69.2
FL1778,TAIL1045,AL4,0,0.863,63.2
FL1779,TAIL1045,AL4,0,0.699,62.3
FL1780,TAIL1045,AL4,0,0.812,62.0
FL1781,TAIL1045,AL4,0,0.644,57.7
FL1782,TAIL1046,AL4,1,1.8,20.0
FL1783,TAIL1046,AL4,1,1.8,39.5
FL1784,TAIL1046,AL4,1,1.794,48.7
FL1785,TAIL1046,AL4,1,1.633,59.1
FL1786,TAIL1046,AL4,0,0.315,106.8
FL1787,TAIL1046,AL4,0,0.438,90.4
FL1788,TAIL1046,AL4,0,0.456,95.7
FL1789,TAIL1046,AL4,0,0.651,41.8
FL1790,TAIL1046,AL4,1,0.875,66.6
FL1791,TAIL1046,AL4,0,0.641,88.8
FL1792,TAIL1046,AL4,0,0.783,91.7
FL1793,TAIL1046,AL4,1,1.045,55.8
FL1794,TAIL1046,AL4,0,0.731,58.3
FL1795,TAIL1046,AL4,1,0.923,71.1
FL1796,TAIL1046,AL4,0,0.747,83.0
FL1797,TAIL1046,AL4,0,0.814,78.6
FL1798,TAIL1047,AL3,1,1.8,31.5
FL1799,TAIL1047,AL3,1,1.781,8.9
FL1800,TAIL1047,AL3,1,1.444,67.5
FL1801,TAIL1047,AL3,1,1.373,64.9
FL1802,TAIL1047,AL3,1,0.944,59.3
FL1803,TAIL1047,AL3,0,0.446,88.8
FL1804,TAIL1047,AL3,0,0.622,85.0
FL1805,TAIL1047,AL3,0,0.852,66.9
FL1806,TAIL1047,AL3,0,0.781,57.2
FL1807,TAIL1047,AL3,1,0.87,53.1
FL1808,TAIL1047,AL3,1,0.907,46.3
FL1809,TAIL1047,AL3,0,0.795,60.3
FL1810,TAIL1047,AL3,1,1.157,37.3
FL1811,TAIL1047,AL3,1,0.951,57.1
FL1812,TAIL1047,AL3,1,0.912,55.8
FL1813,TAIL1047,AL3,0,0.532,90.4
FL1814,TAIL1047,AL3,0,0.757,60.9
FL1815,TAIL1047,AL3,0,0.768,61.7
FL1816,TAIL1047,AL3,0,0.608,71.7
FL1817,TAIL1047,AL3,0,0.637,92.2
FL1818,TAIL1047,AL3,1,0.973,46.0
FL1819,TAIL1048,AL1,1,1.8,57.6
FL1820,TAIL1048,AL1,1,1.355,74.5
FL1821,TAIL1048,AL1,0,0.828,46.6
FL1822,TAIL1048,AL1,1,0.949,62.7
FL1823,TAIL1048,AL1,0,0.723,86.3
FL1824,TAIL1048,AL1,0,0.801,61.5
FL1825,TAIL1048,AL1,0,0.686,73.6
FL1826,TAIL1048,AL1,0,0.768,65.8
FL1827,TAIL1048,AL1,0,0.778,65.3
FL1828,TAIL1048,AL1,1,1.017,41.8
FL1829,TAIL1048,AL1,0,0.529,69.4
FL1830,TAIL1048,AL1,0,0.582,76.3
FL1831,TAIL1048,AL1,0,0.703,65.5
FL1832,TAIL1048,AL1,0,0.759,60.2
FL1833,TAIL1048,AL1,0,0.851,70.5
FL1834,TAIL1048,AL1,0,0.753,81.3
FL1835,TAIL1048,AL1,1,0.869,71.5
FL1836,TAIL1048,AL1,0,0.497,83.4
FL1837,TAIL1049,AL2,1,1.8,42.5
FL1838,TAIL1049,AL2,1,1.8,25.0
FL1839,TAIL1049,AL2,1,1.277,58.5
FL1840,TAIL1049,AL2,0,0.701,68.7
FL1841,TAIL1049,AL2,0,0.753,50.8
FL1842,TAIL1049,AL2,0,0.797,65.6
FL1843,TAIL1049,AL2,0,0.559,75.2
FL1844,TAIL1049,AL2,0,0.657,89.0
FL1845,TAIL1049,AL2,0,0.723,35.5
FL1846,TAIL1049,AL2,0,0.709,53.1
FL1847,TAIL1049,AL2,0,0.809,65.7
FL1848,TAIL1049,AL2,0,0.673,77.9
FL1849,TAIL1049,AL2,0,0.803,63.5
FL1850,TAIL1049,AL2,0,0.844,54.8
FL1851,TAIL1049,AL2,0,0.606,81.6
FL1852,TAIL1049,AL2,0,0.648,74.7
FL1853,TAIL1049,AL2,0,0.827,66.4
FL1854,TAIL1049,AL2,1,1.091,37.4
FL1855,TAIL1049,AL2,1,0.94,58.3
FL1856,TAIL1050,AL1,1,1.8,37.4
FL1857,TAIL1050,AL1,1,0.914,53.0
FL1858,TAIL1050,AL1,0,0.6,72.2
FL1859,TAIL1050,AL1,0,0.777,64.9
FL1860,TAIL1050,AL1,0,0.806,70.7
FL1861,TAIL1050,AL1,1,0.977,74.3
FL1862,TAIL1050,AL1,1,0.988,53.8
FL1863,TAIL1050,AL1,1,1.108,50.5
FL1864,TAIL1050,AL1,1,0.892,68.0
FL1865,TAIL1050,AL1,0,0.444,75.7
FL1866,TAIL1050,AL1,0,0.569,60.7
FL1867,TAIL1050,AL1,0,0.563,66.6
FL1868,TAIL1050,AL1,0,0.599,72.5
FL1869,TAIL1050,AL1,0,0.861,51.6
FL1870,TAIL1050,AL1,0,0.586,65.5
FL1871,TAIL1051,AL4,1,1.8,52.1
FL1872,TAIL1051,AL4,1,1.5,43.2
FL1873,TAIL1051,AL4,0,0.507,104.6
FL1874,TAIL1051,AL4,0,0.54,73.6
FL1875,TAIL1051,AL4,0,0.619,77.2
FL1876,TAIL1051,AL4,0,0.681,53.9
FL1877,TAIL1051,AL4,1,0.943,45.1
FL1878,TAIL1051,AL4,0,0.788,49.9
FL1879,TAIL1051,AL4,1,0.877,63.6
FL1880,TAIL1051,AL4,0,0.564,67.7
FL1881,TAIL1051,AL4,0,0.778,56.7
FL1882,TAIL1051,AL4,0,0.548,58.3
FL1883,TAIL1051,AL4,0,0.636,59.5
FL1884,TAIL1051,AL4,0,0.602,69.1
FL1885,TAIL1051,AL4,0,0.736,62.1
FL1886,TAIL1051,AL4,0,0.768,71.4
FL1887,TAIL1051,AL4,0,0.561,83.7
FL1888,TAIL1051,AL4,0,0.624,69.3
FL1889,TAIL1051,AL4,0,0.682,62.6
FL1890,TAIL1051,AL4,0,0.805,81.2
FL1891,TAIL1051,AL4,0,0.4,112.9
FL1892,TAIL1051,AL4,0,0.626,75.9
FL1893,TAIL1051,AL4,0,0.785,60.4
FL1894,TAIL1051,AL4,0,0.543,54.2
FL1895,TAIL1051,AL4,0,0.594,46.8
FL1896,TAIL1052,AL3,1,1.8,17.3
FL1897,TAIL1052,AL3,1,1.758,44.3
FL1898,TAIL1052,AL3,1,1.259,49.7
FL1899,TAIL1052,AL3,0,0.462,83.2
FL1900,TAIL1052,AL3,0,0.71,53.3
FL1901,TAIL1052,AL3,0,0.748,70.7
FL1902,TAIL1052,AL3,0,0.761,69.6
FL1903,TAIL1052,AL3,1,1.043,52.0
FL1904,TAIL1052,AL3,0,0.6,89.3
FL1905,TAIL1052,AL3,0,0.615,67.9
FL1906,TAIL1052,AL3,0,0.816,70.5
FL1907,TAIL1052,AL3,0,0.716,72.5
FL1908,TAIL1052,AL3,0,0.792,60.1
FL1909,TAIL1052,AL3,1,1.029,50.6
FL1910,TAIL1052,AL3,1,0.924,32.7
FL1911,TAIL1052,AL3,0,0.62,83.0
FL1912,TAIL1052,AL3,1,0.885,36.9
FL1913,TAIL1052,AL3,0,0.602,60.6
FL1914,TAIL1052,AL3,1,0.865,47.2
FL1915,TAIL1053,AL2,1,1.8,30.8
FL1916,TAIL1053,AL2,1,1.8,31.1
FL1917,TAIL1053,AL2,1,1.395,12.3
FL1918,TAIL1053,AL2,1,0.942,30.2
FL1919,TAIL1053,AL2,1,1.024,60.9
FL1920,TAIL1053,AL2,0,0.328,99.3
FL1921,TAIL1053,AL2,0,0.362,64.3
FL1922,TAIL1053,AL2,0,0.485,76.0
FL1923,TAIL1053,AL2,0,0.474,78.5
FL1924,TAIL1053,AL2,0,0.604,73.0
FL1925,TAIL1053,AL2,0,0.66,68.3
FL1926,TAIL1053,AL2,0,0.656,59.3
FL1927,TAIL1053,AL2,0,0.838,57.3
FL1928,TAIL1053,AL2,0,0.658,57.2
FL1929,TAIL1053,AL2,0,0.708,56.5
FL1930,TAIL1053,AL2,1,0.918,54.4
FL1931,TAIL1053,AL2,0,0.845,53.6
FL1932,TAIL1053,AL2,0,0.54,62.5
FL1933,TAIL1053,AL2,0,0.682,83.3
FL1934,TAIL1053,AL2,0,0.797,63.1
FL1935,TAIL1053,AL2,1,1.036,72.8
FL1936,TAIL1053,AL2,1,1.075,57.3
FL1937,TAIL1053,AL2,0,0.643,64.9
FL1938,TAIL1053,AL2,0,0.789,66.5
FL1939,TAIL1053,AL2,1,0.963,67.6
FL1940,TAIL1054,AL3,1,1.8,28.6
FL1941,TAIL1054,AL3,1,1.438,60.7
FL1942,TAIL1054,AL3,0,0.605,70.0
FL1943,TAIL1054,AL3,0,0.641,78.4
FL1944,TAIL1054,AL3,0,0.722,72.6
FL1945,TAIL1054,AL3,1,0.96,59.9
FL1946,TAIL1054,AL3,0,0.679,56.1
FL1947,TAIL1054,AL3,1,0.936,24.5
FL1948,TAIL1054,AL3,0,0.803,61.2
FL1949,TAIL1054,AL3,0,0.566,76.1
FL1950,TAIL1054,AL3,0,0.709,54.6
FL1951,TAIL1054,AL3,0,0.777,62.5
FL1952,TAIL1054,AL3,1,1.092,41.1
FL1953,TAIL1054,AL3,0,0.623,78.2
FL1954,TAIL1054,AL3,0,0.766,60.8
FL1955,TAIL1055,AL3,1,1.8,30.2
FL1956,TAIL1055,AL3,1,1.8,44.0
FL1957,TAIL1055,AL3,1,1.8,38.1
FL1958,TAIL1055,AL3,1,1.8,48.4
FL1959,TAIL1055,AL3,0,0.582,81.9
FL1960,TAIL1055,AL3,0,0.844,69.7
FL1961,TAIL1055,AL3,0,0.824,39.8
FL1962,TAIL1055,AL3,0,0.667,65.6
FL1963,TAIL1055,AL3,0,0.773,68.7
FL1964,TAIL1055,AL3,0,0.828,41.3
FL1965,TAIL1055,AL3,0,0.804,53.9
FL1966,TAIL1055,AL3,1,0.993,69.5
FL1967,TAIL1055,AL3,0,0.765,64.9
FL1968,TAIL1055,AL3,0,0.831,53.1
FL1969,TAIL1055,AL3,0,0.681,56.3
FL1970,TAIL1055,AL3,1,0.864,52.1
FL1971,TAIL1055,AL3,0,0.755,64.0
FL1972,TAIL1055,AL3,0,0.746,77.1
FL1973,TAIL1055,AL3,0,0.847,59.8
FL1974,TAIL1056,AL4,1,1.8,45.9
FL1975,TAIL1056,AL4,1,1.56,34.9
FL1976,TAIL1056,AL4,1,1.05,54.9
FL1977,TAIL1056,AL4,1,0.989,56.6
FL1978,TAIL1056,AL4,1,0.985,57.1
FL1979,TAIL1056,AL4,0,0.451,84.6
FL1980,TAIL1056,AL4,0,0.526,71.8
FL1981,TAIL1056,AL4,0,0.48,105.3
FL1982,TAIL1056,AL4,0,0.542,71.7
FL1983,TAIL1056,AL4,0,0.676,60.7
FL1984,TAIL1056,AL4,0,0.766,76.2
FL1985,TAIL1056,AL4,0,0.497,79.9
FL1986,TAIL1056,AL4,0,0.499,85.4
FL1987,TAIL1056,AL4,0,0.747,83.7
FL1988,TAIL1056,AL4,0,0.846,66.5
FL1989,TAIL1056,AL4,0,0.81,54.9
FL1990,TAIL1056,AL4,0,0.797,78.8
FL1991,TAIL1056,AL4,0,0.547,68.9
FL1992,TAIL1056,AL4,0,0.771,58.8
FL1993,TAIL1056,AL4,0,0.814,55.2
FL1994,TAIL1056,AL4,1,0.949,52.2
FL1995,TAIL1057,AL1,1,1.8,57.3
FL1996,TAIL1057,AL1,1,1.571,45.5
FL1997,TAIL1057,AL1,0,0.693,96.2
FL1998,TAIL1057,AL1,0,0.666,73.9
FL1999,TAIL1057,AL1,1,0.879,67.2
FL2000,TAIL1057,AL1,0,0.45,95.7
FL2001,TAIL1057,AL1,0,0.57,78.1
FL2002,TAIL1057,AL1,0,0.822,49.9
FL2003,TAIL1057,AL1,0,0.82,37.1
FL2004,TAIL1058,AL4,1,1.8,10.3
FL2005,TAIL1058,AL4,0,0.853,56.3
FL2006,TAIL1058,AL4,0,0.849,55.1
FL2007,TAIL1058,AL4,1,1.045,66.6
FL2008,TAIL1058,AL4,0,0.753,68.7
FL2009,TAIL1058,AL4,1,1.067,45.8
FL2010,TAIL1058,AL4,0,0.679,87.3
FL2011,TAIL1058,AL4,0,0.735,81.5
FL2012,TAIL1058,AL4,1,0.971,60.7
FL2013,TAIL1058,AL4,0,0.527,98.6
FL2014,TAIL1059,AL4,1,1.8,64.7
FL2015,TAIL1059,AL4,1,1.39,47.5
FL2016,TAIL1059,AL4,0,0.587,54.9
FL2017,TAIL1059,AL4,0,0.767,87.3
FL2018,TAIL1059,AL4,1,0.931,61.3
FL2019,TAIL1059,AL4,0,0.514,96.5
FL2020,TAIL1059,AL4,0,0.531,85.5
FL2021,TAIL1059,AL4,0,0.533,84.9
FL2022,TAIL1059,AL4,0,0.748,89.6
FL2023,TAIL1060,AL3,1,1.8,46.7
FL2024,TAIL1060,AL3,0,0.5,49.6
FL2025,TAIL1060,AL3,0,0.597,50.9
FL2026,TAIL1060,AL3,1,0.894,47.6
FL2027,TAIL1060,AL3,0,0.57,76.3
FL2028,TAIL1060,AL3,1,0.914,67.0
FL2029,TAIL1060,AL3,0,0.804,67.5
FL2030,TAIL1060,AL3,0,0.592,77.0
FL2031,TAIL1060,AL3,0,0.847,49.1
FL2032,TAIL1060,AL3,0,0.846,77.5
FL2033,TAIL1060,AL3,0,0.492,81.1
FL2034,TAIL1060,AL3,0,0.586,70.9
FL2035,TAIL1060,AL3,1,0.877,52.2
FL2036,TAIL1060,AL3,0,0.654,59.3
FL2037,TAIL1060,AL3,0,0.669,73.4
FL2038,TAIL1060,AL3,1,1.089,61.1
FL2039,TAIL1061,AL1,1,1.8,26.7
FL2040,TAIL1061,AL1,1,1.685,48.3
FL2041,TAIL1061,AL1,1,1.07,52.5
FL2042,TAIL1061,AL1,0,0.436,85.1
FL2043,TAIL1061,AL1,0,0.64,54.2
FL2044,TAIL1061,AL1,0,0.59,41.6
FL2045,TAIL1061,AL1,0,0.625,68.9
FL2046,TAIL1061,AL1,1,0.932,53.2
FL2047,TAIL1061,AL1,0,0.525,68.6
FL2048,TAIL1061,AL1,0,0.609,82.7
FL2049,TAIL1061,AL1,0,0.768,79.1
FL2050,TAIL1061,AL1,0,0.83,67.1
FL2051,TAIL1061,AL1,0,0.647,77.4
FL2052,TAIL1061,AL1,0,0.689,55.9
FL2053,TAIL1061,AL1,0,0.857,51.0
FL2054,TAIL1061,AL1,0,0.536,80.4
FL2055,TAIL1061,AL1,0,0.589,72.6
FL2056,TAIL1061,AL1,0,0.713,62.6
FL2057,TAIL1061,AL1,0,0.786,56.9
FL2058,TAIL1061,AL1,1,0.918,41.0
FL2059,TAIL1061,AL1,0,0.464,115.4
FL2060,TAIL1061,AL1,0,0.452,70.3
FL2061,TAIL1062,AL2,1,1.8,40.6
FL2062,TAIL1062,AL2,0,0.444,69.2
FL2063,TAIL1062,AL2,0,0.586,65.6
FL2064,TAIL1062,AL2,0,0.573,77.5
FL2065,TAIL1062,AL2,0,0.684,46.5
FL2066,TAIL1062,AL2,1,0.888,34.1
FL2067,TAIL1062,AL2,0,0.599,69.3
FL2068,TAIL1062,AL2,0,0.688,65.2
FL2069,TAIL1062,AL2,0,0.763,69.3
FL2070,TAIL1062,AL2,0,0.819,68.0
